Client Name,Client Code,Entry Date,Entered by ,Industry,Sub Industry,What do they do,Territory,Pursued Opportunity Value,Incorporation Type,Listed Company,Market Cap,Annual Revenue (QAR),Classification,Employee Strength,IT Employee Strength,Primary Relationship Holder,Secondary Relationship Holder (Pref Economic),Relationship Status,Details are upto date,Related Contacts,Lifetime Value,Priority,Action
Airtel India,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",Insurance,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),8000,8000,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,Same as template
Reliance Geo,RELGEO,"Aug 1, 2024",Ashwin Gorle,PSG : Public Sector and Government,Telecom,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Semi Government,Unlisted,Rs 200k Cr + (Large),400 Cr,Platinum (10B $+),6000,6000,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
FutureLink,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",NBFS,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Copper (100-500M $),8000,8000,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
AetherMinds,RELGEO,"Aug 1, 2024",Ashwin Gorle,CGR : Consumer Goods and Retail,NBFS,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Employee Owned,Unlisted,100-500M $,400 Cr,Platinum (10B $+),555000,555000,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
Gamingx,AIRIND,"Aug 1, 2024",Ashwin Gorle,"LT&T : Logistics, Travel and Transport",Startups,Top Telecom Provider India,Mumbai MMR,,Ministry,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),8000,8000,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,Same as template
Flipkar,RELGEO,"Aug 1, 2024",Ashwin Gorle,EUR : :  Energy Utility and Resources,Others,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Subsidiary,Unlisted,Rs 200k Cr + (Large),400 Cr,Nickel (Low Revenue),6000,6000,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Low,Same as template
Ajio,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",Telecom,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),8000,800,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,Same as template
gamix,RELGEO,"Aug 1, 2024",Ashwin Gorle,PSG : Public Sector and Government,Telecom,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Semi Government,Unlisted,Rs 200k Cr + (Large),400 Cr,Platinum (10B $+),6000,500,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
futura,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",NBFS,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Copper (100-500M $),8000,800,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
tech giant,RELGEO,"Aug 1, 2024",Ashwin Gorle,CGR : Consumer Goods and Retail,NBFS,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Employee Owned,Unlisted,100-500M $,400 Cr,Platinum (10B $+),555000,540000,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
exo,AIRIND,"Aug 1, 2024",Ashwin Gorle,"LT&T : Logistics, Travel and Transport",Startups,Top Telecom Provider India,Mumbai MMR,,Ministry,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),8000,800,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
spaceX,RELGEO,"Aug 1, 2024",Ashwin Gorle,EUR : :  Energy Utility and Resources,Others,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Subsidiary,Unlisted,Rs 200k Cr + (Large),400 Cr,Nickel (Low Revenue),6000,500,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
Reliance Geo,RELGEO,"Aug 1, 2024",Ashwin Gorle,PSG : Public Sector and Government,Telecom,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Semi Government,Unlisted,Rs 200k Cr + (Large),400 Cr,Platinum (10B $+),106727.2727,95789.09091,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
FutureLink,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",NBFS,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Copper (100-500M $),106727.2727,94687.27273,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
AetherMinds,RELGEO,"Aug 1, 2024",Ashwin Gorle,CGR : Consumer Goods and Retail,NBFS,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Employee Owned,Unlisted,100-500M $,400 Cr,Platinum (10B $+),106727.2727,93585.45455,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
Gamingx,AIRIND,"Aug 1, 2024",Ashwin Gorle,"LT&T : Logistics, Travel and Transport",Startups,Top Telecom Provider India,Mumbai MMR,,Ministry,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,92483.63636,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,Same as template
Flipkar,RELGEO,"Aug 1, 2024",Ashwin Gorle,EUR : :  Energy Utility and Resources,Others,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Subsidiary,Unlisted,Rs 200k Cr + (Large),400 Cr,Nickel (Low Revenue),106727.2727,91381.81818,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Low,Same as template
Ajio,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",Telecom,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,90280,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,Same as template
